fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
1001,59285,43616,11829,466,69841.0,1200.0,27.8,2018,181
1003,239945,198721,19144,3768,75019.0,1211.0,37.9,2018,852
1005,24757,10891,11616,234,44290.0,644.0,30.7,2018,33
1007,22152,16634,4587,422,51215.0,802.0,46.9,2018,35
1009,59292,53062,747,985,61096.0,743.0,44.3,2018,69
1011,10157,2327,7234,10,36723.0,635.0,53.6,2018,32
1013,18807,9622,8411,148,44881.0,722.0,38.1,2018,47
1015,116141,82465,25515,1498,55826.0,804.0,37.2,2018,519
1017,34450,19089,13697,271,49295.0,850.0,29.8,2018,123
1019,25224,23017,948,451,50769.0,750.0,34.9,2018,48
1021,45500,36815,4175,1044,61873.0,855.0,25.8,2018,101
1023,12525,7101,4782,284,44483.0,653.0,35.7,2018,10
1025,22802,11749,10360,126,49167.0,785.0,45.0,2018,45
1027,14188,11424,1840,125,51852.0,624.0,24.4,2018,17
1029,15254,14158,598,131,53319.0,792.0,32.6,2018,23
1031,54231,38780,8991,1457,64672.0,970.0,31.7,2018,161
1033,57648,44984,9103,808,56736.0,838.0,38.0,2018,146
1035,11411,5730,5221,103,42266.0,781.0,49.5,2018,17
1037,10323,6664,3065,126,57063.0,682.0,53.0,2018,11
1039,37647,31325,4417,512,50886.0,736.0,37.4,2018,92
1041,13144,9280,3071,154,49040.0,664.0,30.8,2018,17
1043,89463,81402,958,1327,60916.0,883.0,30.2,2018,164
1045,49516,33971,10504,1049,53955.0,863.0,29.2,2018,142
1047,37536,10207,26467,265,36810.0,749.0,52.4,2018,142
1049,71946,58471,923,2760,51149.0,683.0,31.3,2018,107
1051,88669,64984,18685,843,75553.0,1014.0,39.5,2018,221
1053,36695,22378,11255,2175,44447.0,709.0,41.5,2018,78
1055,103208,79768,15529,1445,53070.0,807.0,40.8,2018,632
1057,16173,13662,1983,133,50733.0,622.0,34.1,2018,19
1059,31978,24208,1287,686,51493.0,667.0,30.6,2018,58
1061,26726,22539,2311,542,50951.0,757.0,30.4,2018,65
1063,7589,1360,6186,11,31495.0,429.0,31.2,2018,27
